,ADAUSDT,BATUSDT,BTCUSDT,BTTUSDT,DASHUSDT,EOSUSDT,ETCUSDT,ETHUSDT,HOTUSDT,IOTAUSDT,LINKUSDT,LTCUSDT,NEOUSDT,OMGUSDT,QTUMUSDT,THETAUSDT,TRXUSDT,TRXUSDT.1,VETUSDT,XLMUSDT,XMRUSDT,XRPUSDT
ADAUSDT,0.0,0.8133682892597471,0.9364405600835302,0.3837552447105169,0.24588606397216933,0.48697330384594106,0.09084553737318762,0.012668518698766422,0.4676784625893372,0.8417777118768112,0.5042505768603633,0.5780127247156177,0.17625054936450812,0.41201160689124744,0.05372082507340778,0.261255801858568,0.4379584506112787,0.24168701946005305,0.24168701946005305,0.6996694534343838,0.5166500505918167,0.3032120481546835
BATUSDT,0.43161317488844525,0.0,0.20644574199504195,3.805249930274681e-05,0.018511284605832203,0.13387008013739782,0.4237883623226516,0.22150587063828303,1.5021918872756825e-05,0.00022476544338400473,0.20994077503142017,0.17160090398889166,0.005825017864829964,0.22779836565748357,0.003624012844310203,7.936081252222988e-07,0.0005115654983088126,0.01819809645055777,0.01819809645055777,0.15216319892757268,0.0737570296048967,0.05453171037722879
BTCUSDT,0.8261184851800585,0.28486023298205193,0.0,0.35984693047382366,0.09901072528591981,0.40030115699523966,0.648334527630487,0.888821410701409,0.35124624687783873,0.24775092160619017,0.2169784738290993,0.15007316297212803,0.3693638932581601,0.17954837590996986,0.3412446665705645,0.3496000872888139,0.2795384669123543,0.6215201577395671,0.6215201577395671,0.005334446928838393,0.38871328285279966,0.4301817780882916
BTTUSDT,0.06778245809510541,2.5594674074582497e-05,0.18083671139016788,0.0,0.026220303523041485,0.03327980965025597,0.1467071859455218,0.06036968989037391,3.170221063587459e-07,0.005928201513629766,0.14228440003301585,0.060950397583504866,0.0042064380596821644,0.0745837566105596,7.033781317563685e-05,0.00022654470752608434,0.01862814096491042,0.0007899809817953206,0.0007899809817953206,0.08628451559545963,0.02839535573834892,0.00011201831253318928
DASHUSDT,0.05423290225861575,0.009066456088854999,0.0312661052200548,0.018136638041980763,0.0,0.050417411261495244,0.4195843617617575,0.06214008075486463,0.032452789658299126,0.0004020751577578156,0.07923959906299816,0.0027654025075180555,0.004656774013808605,0.1109597496843896,0.0007842747069316169,0.014252519557693275,0.03128092847856209,0.021272631231806366,0.021272631231806366,0.008898782561810106,0.01816725100533653,0.010862951796371464
EOSUSDT,0.004067692728964897,0.007853101054147864,0.025419148092172612,0.0021040431865841664,0.005758742099830605,0.0,0.0028390176000672187,0.0033176547593696273,0.004971973729983058,0.006917341217552196,0.016259956285970004,0.0045141811499375805,0.0018607430738776418,0.02441596573864008,0.0002726857798223904,0.0061640534710152226,0.004901921263029931,0.002122021135319101,0.002122021135319101,0.014930974342286768,0.004599502951008159,0.00079239502227953
ETCUSDT,0.014675227134829414,0.3982768963726963,0.43447645028764437,0.19577665287746215,0.5981141396674752,0.1040508125405174,0.0,0.004786032136457003,0.2183836209700088,0.33249023967390656,0.25361999914596184,0.4411637987989267,0.1153095426149306,0.6021438015766164,0.2814810175409013,0.22669823602155076,0.24029952827078238,0.08549196238692741,0.08549196238692741,0.3191885495174208,0.13444988303817457,0.0031618692950566287
ETHUSDT,0.007617695349754831,0.5376165290988691,0.9496361064550287,0.27057748030917395,0.3463305585450954,0.26985060112542253,0.016508564272384715,0.0,0.49592861545277495,0.675096804578122,0.48152092899462096,0.690595743187175,0.017827483793979814,0.21183643869664887,0.007944873003408112,0.3368635405190482,0.11397238477179661,0.1594002558070161,0.1594002558070161,0.022123185568427513,0.04814937167244115,0.04393037660064601
HOTUSDT,0.09019944766149401,9.563137777134238e-06,0.17592743315033282,2.510184816151895e-07,0.04549316974672091,0.06874823566922877,0.14754318223334617,0.13151294781194522,0.0,0.007073953204965279,0.17803154733267557,0.07585648250171197,0.024270011668366457,0.07296124368248491,0.0021506025968195423,7.515149278026954e-05,0.015401631466962412,0.006151668584363902,0.006151668584363902,0.07758664187548357,0.044527082210095936,0.003215625986259832
IOTAUSDT,0.6067897695071957,0.0002886968473127496,0.19534587333307107,0.01142131631046525,0.0012312905213362878,0.12923515706197197,0.4727257925918279,0.41796894839412957,0.014732668983178617,0.0,0.22216405540559625,0.13110279495821064,0.012752823805459699,0.14360188484542913,0.019345728305010527,0.02992831899050863,0.0051489293876855685,0.1641436642628507,0.1641436642628507,0.09457164602941648,0.11169087836015407,0.10306487151714006
