Time,ADAUSDT,BATUSDT,BTCUSDT,BTTUSDT,DASHUSDT,EOSUSDT,ETCUSDT,ETHUSDT,HOTUSDT,IOTAUSDT,LINKUSDT,LTCUSDT,NEOUSDT,OMGUSDT,QTUMUSDT,THETAUSDT,TRXUSDT,VETUSDT,XLMUSDT,XMRUSDT,XRPUSDT
1559347200000,0.09022,0.3506,8585.99,0.001578,166.91,8.5587,8.7086,274.72,0.0023,0.5132,1.0448,116.12,13.755,2.2957,3.491,0.13546,0.03335,0.007719,0.13455,93.83,0.44145
1559350800000,0.08945,0.348,8567.58,0.0015943,165.82,8.5188,8.6676,272.24,0.002306,0.5111,1.0435,115.14,13.674,2.2876,3.516,0.13394,0.03331,0.007767,0.13355,93.48,0.43855
1559354400000,0.09004,0.3487,8555.0,0.0016333,165.67,8.4997,8.7712,271.06,0.0022869,0.5109,1.023,114.96,14.277,2.3371,3.7,0.13506,0.03407,0.007701,0.13389,93.36,0.4384
1559358000000,0.0896,0.3491,8552.75,0.0016054,166.11,8.4419,8.801,269.7,0.0022777,0.5085,1.0018,114.49,13.985,2.3156,3.682,0.1336,0.0337,0.007707,0.13292,93.11,0.43638
1559361600000,0.0895,0.3493,8561.23,0.0016432,165.16,8.5013,8.7862,270.58,0.002323,0.5056,0.9971,114.83,13.983,2.315,3.676,0.13402,0.03378,0.0076,0.13329,93.07,0.43905
1559365200000,0.08735,0.3438,8476.28,0.0015816,162.47,8.2188,8.5483,266.87,0.0022968,0.4861,0.9885,112.23,13.618,2.2456,3.553,0.129,0.0334,0.007504,0.13099,91.68,0.43106
1559368800000,0.08826,0.346,8525.61,0.001593,163.86,8.2787,8.6474,268.82,0.0022971,0.494,0.9856,113.33,13.791,2.28,3.618,0.13026,0.03413,0.007558,0.13195,92.15,0.43405
1559372400000,0.08898,0.3494,8539.26,0.001625,165.9,8.3352,8.7459,269.82,0.0022962,0.4947,1.0044,113.8,14.047,2.2934,3.634,0.13128,0.03491,0.007564,0.13233,92.36,0.43456
1559376000000,0.08939,0.3487,8554.19,0.0016324,166.0,8.3391,8.805,270.35,0.0022892,0.4893,1.0038,113.92,14.124,2.3135,3.643,0.13179,0.03541,0.007575,0.13299,93.03,0.43633
1559379600000,0.08923,0.3508,8577.26,0.0016326,166.0,8.3943,8.8396,270.0,0.0022778,0.4881,0.9946,113.77,13.972,2.3086,3.671,0.13242,0.03578,0.007498,0.13259,92.99,0.43699
1559383200000,0.08878,0.3496,8551.27,0.0016296,166.76,8.3171,8.7368,268.86,0.0022628,0.49,1.0019,113.41,13.87,2.31,3.642,0.13289,0.03518,0.007529,0.13243,92.86,0.43538
1559386800000,0.08919,0.3487,8566.0,0.0016294,164.81,8.3076,8.7409,269.14,0.0022573,0.4889,0.993,113.85,13.842,2.31,3.667,0.13302,0.03565,0.007565,0.13211,92.74,0.4355
1559390400000,0.08862,0.3499,8544.16,0.0016829,165.26,8.2705,8.6972,268.28,0.0022997,0.4858,0.995,113.38,13.769,2.2973,3.654,0.13237,0.03648,0.007534,0.13139,93.37,0.43386
1559394000000,0.08793,0.3469,8504.51,0.0016705,164.21,8.2162,8.623,265.58,0.0022817,0.4784,0.9855,112.85,13.669,2.2641,3.593,0.13035,0.03583,0.007448,0.13065,91.95,0.43066
1559397600000,0.08642,0.3433,8481.59,0.0016398,161.68,8.0522,8.5317,263.47,0.002217,0.4726,0.9738,112.01,13.436,2.2307,3.542,0.12882,0.03537,0.007408,0.12945,91.56,0.42428
1559401200000,0.08735,0.3445,8530.21,0.0016625,164.73,8.1916,8.6509,265.69,0.0022512,0.4812,0.981,112.76,13.643,2.247,3.602,0.12913,0.03622,0.007417,0.13056,92.16,0.42812
1559404800000,0.08824,0.3468,8554.93,0.0017059,164.94,8.2984,8.7464,266.63,0.00226,0.4831,0.9929,113.32,13.94,2.2762,3.623,0.1316,0.03848,0.007472,0.13166,92.95,0.43044
1559408400000,0.08792,0.3537,8517.91,0.001678,162.86,8.1646,8.5975,264.36,0.0022411,0.4781,0.9831,112.64,13.832,2.2371,3.571,0.13207,0.03808,0.007446,0.13067,92.02,0.42837
1559412000000,0.08778,0.3602,8494.49,0.0017004,163.36,8.07,8.5893,262.96,0.0022708,0.4743,0.9749,112.15,13.803,2.2263,3.579,0.13136,0.03822,0.00743,0.12989,92.39,0.42642
1559415600000,0.08855,0.3555,8530.11,0.001706,164.1,8.0187,8.5625,263.7,0.002246,0.4774,0.9699,112.03,14.004,2.2409,3.61,0.1325,0.03884,0.007448,0.132,92.51,0.42801
1559419200000,0.09067,0.353,8546.18,0.0016973,164.75,8.1699,8.6279,265.61,0.0022469,0.477,0.9685,112.8,14.078,2.2676,3.64,0.13272,0.03786,0.007463,0.13295,92.56,0.42909
1559422800000,0.09164,0.3599,8584.18,0.0016924,165.33,8.1953,8.723,267.78,0.0022581,0.486,0.9706,113.18,14.121,2.2839,3.641,0.13273,0.03802,0.007485,0.13428,92.89,0.43431
1559426400000,0.09254,0.3623,8577.11,0.0016878,164.72,8.2342,8.6665,267.76,0.002267,0.4817,0.9668,114.25,13.936,2.2804,3.611,0.13579,0.03793,0.007431,0.13417,93.06,0.43366
1559430000000,0.09047,0.3573,8544.07,0.0016724,163.0,7.7027,8.5698,264.33,0.0022488,0.4785,0.956,112.35,13.709,2.2232,3.508,0.13147,0.03746,0.007404,0.13257,92.96,0.42894
1559433600000,0.09351,0.3572,8564.83,0.0016905,163.06,7.7754,8.6487,266.83,0.0022797,0.4825,0.9702,113.03,13.721,2.255,3.555,0.13152,0.0387,0.007424,0.13334,93.18,0.431
1559437200000,0.09457,0.3582,8571.46,0.0016839,163.17,7.7563,8.674,267.15,0.0022968,0.4847,0.9621,112.89,13.803,2.2634,3.54,0.13231,0.03852,0.007457,0.13432,93.22,0.43183
1559440800000,0.09288,0.3574,8551.54,0.0016575,162.45,7.5914,8.6128,265.23,0.0022945,0.4789,0.948,112.26,13.76,2.2407,3.507,0.13723,0.03785,0.007405,0.13356,93.15,0.43075
1559444400000,0.09222,0.3559,8544.1,0.0016349,162.24,7.6025,8.5781,265.16,0.002273,0.4761,0.9447,111.68,13.601,2.2234,3.47,0.13829,0.03778,0.007436,0.13288,92.93,0.42943
1559448000000,0.09361,0.355,8566.26,0.001667,163.41,7.7258,8.7092,266.55,0.0022711,0.4797,0.9425,112.23,13.777,2.2493,3.526,0.13742,0.03842,0.007432,0.13428,93.1,0.43182
1559451600000,0.09452,0.3578,8581.25,0.0016634,163.27,7.7828,8.8252,267.91,0.0022694,0.4801,0.9586,113.05,13.819,2.2593,3.528,0.13747,0.03886,0.007507,0.13486,93.4,0.43322
1559455200000,0.09455,0.3583,8580.0,0.0016655,164.57,7.7948,9.23,267.65,0.0022843,0.4818,0.9607,113.05,13.862,2.3081,3.612,0.13788,0.03857,0.007457,0.1352,93.29,0.43591
1559458800000,0.09468,0.3609,8703.51,0.0016689,165.94,7.9384,9.275,271.28,0.0022754,0.491,0.959,115.17,13.975,2.3285,3.63,0.13933,0.0389,0.00753,0.13643,94.55,0.441
1559462400000,0.09579,0.3598,8717.38,0.0016747,166.85,7.9334,9.286,271.89,0.0022816,0.4915,0.9756,115.61,14.108,2.3453,3.632,0.14301,0.03952,0.007602,0.13716,94.97,0.43958
1559466000000,0.0962,0.3619,8696.38,0.0017062,166.56,7.8561,9.2894,271.0,0.0022997,0.4925,0.9706,114.87,14.007,2.336,3.598,0.14298,0.04033,0.007616,0.13637,94.85,0.43967
1559469600000,0.09636,0.3634,8715.05,0.0016937,166.61,7.8643,9.259,270.4,0.0022877,0.4935,0.9774,114.89,14.064,2.3389,3.617,0.14437,0.03996,0.007694,0.13685,95.17,0.43948
1559473200000,0.09666,0.3669,8722.04,0.0016904,166.94,7.8641,9.2168,270.3,0.00229,0.4942,0.985,114.94,14.068,2.3429,3.609,0.14328,0.04016,0.007655,0.13699,94.98,0.44088
